model,feature_set,subject,fold,sens,spec,bal_acc,auc,hp_trees,hp_min_n,hp_tree_depth,hp_learn_rate,hp_mtry
rf,sensor_only,15,14,0.36496350364963503,0.930576070901034,0.6477697872753345,0.7876796515326288,NA,6,NA,NA,25
rf,sensor_only,16,15,0.2833333333333333,0.8611111111111112,0.5722222222222222,0.6618923611111124,NA,6,NA,NA,25
rf,sensor_only,17,16,0.23703703703703705,0.985553772070626,0.6112954045538315,0.7979668271803105,NA,10,NA,NA,27
rf,sensor_only,18,17,0.2583732057416268,0.8351254480286738,0.5467493268851503,0.664034230248155,NA,10,NA,NA,27
rf,sensor_only,19,18,0.5046728971962616,0.8807692307692307,0.6927210639827461,0.7929427270548757,NA,10,NA,NA,22
rf,sensor_only,20,19,0.3146067415730337,0.922874093605801,0.6187404175894173,0.6815677008880618,NA,10,NA,NA,27
lgb,full,01,1,0.38650306748466257,0.782608695652174,0.5845558815684182,0.5982187842683974,434,6,6,0.07810280391498574,NA
lgb,full,03,2,0.4297820823244552,0.85375,0.6417660411622276,0.7265072639225181,530,12,6,0.09158203973520893,NA
lgb,full,04,3,0.12142857142857143,0.9833147942157954,0.5523716828221834,0.7271174320673758,434,6,6,0.07810280391498574,NA
lgb,full,05,4,0.37595419847328243,0.9271758436944938,0.6515650210838881,0.8214953967974181,530,12,6,0.09158203973520893,NA
lgb,full,06,5,0.3087121212121212,0.7891891891891892,0.5489506552006552,0.5757063882063895,434,6,6,0.07810280391498574,NA
lgb,full,07,6,0.3105590062111801,0.9234317343173432,0.6169953702642617,0.7691234443400338,530,12,6,0.09158203973520893,NA
lgb,full,08,7,0.06418918918918919,0.9760225669957687,0.520105878092479,0.6437597682308527,434,6,6,0.07810280391498574,NA
lgb,full,09,8,0.1111111111111111,0.8994800693240901,0.5052955902176006,0.5152887996999985,530,12,6,0.09158203973520893,NA
lgb,full,10,9,0.167816091954023,0.893042575285566,0.5304293336197945,0.5820006922810681,530,12,6,0.09158203973520893,NA
lgb,full,11,10,0.0825242718446602,0.9765319426336375,0.5295281072391489,0.6493588688750771,530,12,6,0.09158203973520893,NA
lgb,full,12,11,0.2287390029325513,0.9370400654129191,0.5828895341727351,0.7137033831043815,346,11,5,0.06898319952824654,NA
lgb,full,13,12,0.325,0.8806060606060606,0.6028030303030303,0.6673939393939394,530,12,6,0.09158203973520893,NA
lgb,full,14,13,0.36363636363636365,0.9451052150045746,0.6543707893204691,0.8162064376611524,530,12,6,0.09158203973520893,NA
lgb,full,15,14,0.7226277372262774,0.6971935007385525,0.7099106189824149,0.7545094825820219,434,6,6,0.07810280391498574,NA
lgb,full,16,15,0.2,0.9131944444444444,0.5565972222222222,0.6922453703703694,530,12,6,0.09158203973520893,NA
lgb,full,17,16,0.2222222222222222,0.9775280898876404,0.5998751560549314,0.8090303786933017,530,12,6,0.09158203973520893,NA
lgb,full,18,17,0.5167464114832536,0.7311827956989247,0.6239646035910892,0.6633225291968942,434,6,6,0.07810280391498574,NA
lgb,full,19,18,0.48598130841121495,0.8256410256410256,0.6558111670261203,0.7447459861011224,530,12,6,0.09158203973520893,NA
lgb,full,20,19,0.2640449438202247,0.9116677653263019,0.5878563545732634,0.7075763074666861,530,12,6,0.09158203973520893,NA
