metric,model_A,model_B,mean_A,mean_B,delta,ci_low,ci_high,p_raw,p_BH,p_holm,sig_raw,sig_BH,sig_holm
bal_acc,Transformer,XGB (default),0.5902472164473375,0.6153074147476287,-0.025060198300291252,-0.04166070566727806,-0.008792827425635927,0.002,0.003103448275862069,0.138,TRUE,TRUE,FALSE
bal_acc,Transformer,XGB (tuned),0.5902472164473375,0.6428511335204001,-0.05260391707306271,-0.07319382739673494,-0.03257424733496314,0,0,0,TRUE,TRUE,TRUE
bal_acc,XGB (default),XGB (tuned),0.6153074147476287,0.6428511335204001,-0.02754371877277146,-0.03986476115514482,-0.016147391077922492,0,0,0,TRUE,TRUE,TRUE
auc,Attention (default),DT,0.6424743201873028,0.6493520645433802,-0.0068777443560775415,-0.03529532492326298,0.018611480915996664,0.644,0.6983132530120482,1,FALSE,FALSE,FALSE
auc,Attention (default),LGB (default),0.6424743201873028,0.6911813094401609,-0.04870698925285813,-0.07025629198174883,-0.026858858223072376,0,0,0,TRUE,TRUE,TRUE
auc,Attention (default),LGB (tuned),0.6424743201873028,0.6935426659609999,-0.05106834577369718,-0.07492593646538838,-0.026937381627652704,0,0,0,TRUE,TRUE,TRUE
auc,Attention (default),LR,0.6424743201873028,0.697409695539364,-0.05493537535206129,-0.08209825458365358,-0.03010114521725734,0,0,0,TRUE,TRUE,TRUE
auc,Attention (default),RF (default),0.6424743201873028,0.6997190741347145,-0.05724475394741174,-0.08152889907292639,-0.0322696287967357,0,0,0,TRUE,TRUE,TRUE
auc,Attention (default),RF (tuned),0.6424743201873028,0.6920622056870497,-0.049587885499747006,-0.07353312446503724,-0.02486860044652133,0,0,0,TRUE,TRUE,TRUE
auc,Attention (default),Transformer,0.6424743201873028,0.6455326519812696,-0.003058331793966939,-0.02276813238542685,0.01603260943874085,0.8,0.8372093023255816,1,FALSE,FALSE,FALSE
auc,Attention (default),XGB (default),0.6424743201873028,0.6932224749145043,-0.05074815472720154,-0.07274576666428036,-0.028325594862816675,0,0,0,TRUE,TRUE,TRUE
auc,Attention (default),XGB (tuned),0.6424743201873028,0.7118883969215505,-0.06941407673424782,-0.09626013786524219,-0.041461485160301,0,0,0,TRUE,TRUE,TRUE
auc,DT,LGB (default),0.6493520645433802,0.6911813094401609,-0.04182924489678059,-0.06898178374814654,-0.011464769928796772,0.004,0.006,0.256,TRUE,TRUE,FALSE
auc,DT,LGB (tuned),0.6493520645433802,0.6935426659609999,-0.044190601417619636,-0.07174168536457905,-0.013342215698410142,0.002,0.003103448275862069,0.138,TRUE,TRUE,FALSE
auc,DT,LR,0.6493520645433802,0.697409695539364,-0.04805763099598375,-0.06969762668102096,-0.02819526350980221,0,0,0,TRUE,TRUE,TRUE
auc,DT,RF (default),0.6493520645433802,0.6997190741347145,-0.05036700959133421,-0.08013648941183413,-0.0215606376465724,0,0,0,TRUE,TRUE,TRUE
auc,DT,RF (tuned),0.6493520645433802,0.6920622056870497,-0.04271014114366945,-0.07169251169382593,-0.013428178560733655,0.004,0.006,0.256,TRUE,TRUE,FALSE
auc,DT,Transformer,0.6493520645433802,0.6455326519812696,0.003819412562110607,-0.023593059826980345,0.030240643818045074,0.782,0.8231578947368421,1,FALSE,FALSE,FALSE
auc,DT,XGB (default),0.6493520645433802,0.6932224749145043,-0.043870410371124,-0.07113183631528641,-0.014530489454940364,0,0,0,TRUE,TRUE,TRUE
auc,DT,XGB (tuned),0.6493520645433802,0.7118883969215505,-0.06253633237817027,-0.08922019003548176,-0.033584169361770486,0,0,0,TRUE,TRUE,TRUE
auc,LGB (default),LGB (tuned),0.6911813094401609,0.6935426659609999,-0.0023613565208390488,-0.007592732773882112,0.0030572100813238802,0.452,0.5182165605095541,1,FALSE,FALSE,FALSE
auc,LGB (default),LR,0.6911813094401609,0.697409695539364,-0.006228386099203165,-0.03243008119104303,0.018048443934877204,0.644,0.6983132530120482,1,FALSE,FALSE,FALSE
auc,LGB (default),RF (default),0.6911813094401609,0.6997190741347145,-0.008537764694553614,-0.01994929529902622,0.004692070770975105,0.19,0.23424657534246576,1,FALSE,FALSE,FALSE
auc,LGB (default),RF (tuned),0.6911813094401609,0.6920622056870497,-8.808962468888708e-4,-0.011667813701621753,0.010733361211538494,0.936,0.9465168539325843,1,FALSE,FALSE,FALSE
auc,LGB (default),Transformer,0.6911813094401609,0.6455326519812696,0.0456486574588912,0.028771616290892293,0.0630835773928621,0,0,0,TRUE,TRUE,TRUE
auc,LGB (default),XGB (default),0.6911813094401609,0.6932224749145043,-0.0020411654743434093,-0.006943369707195192,0.0032226905899357915,0.48,0.54,1,FALSE,FALSE,FALSE
