metric,model_A,model_B,mean_A,mean_B,delta,ci_low,ci_high,p_A_gt_B,p_two_sided
spec,Attention (tuned),RF (default),0.6617741694906961,0.9314267557789168,-0.26965258628822064,-0.3020404246854498,-0.2346125977161184,0,0
spec,Attention (tuned),RF (tuned),0.6617741694906961,0.915371625993825,-0.2535974565031289,-0.3098205211964796,-0.19426443211313602,0,0
spec,Attention (tuned),Transformer,0.6617741694906961,0.5039615937071629,0.1578125757835332,0.11463440384822078,0.19956019861309232,1,0
spec,Attention (tuned),XGB (default),0.6617741694906961,0.8138069409247455,-0.15203277143404934,-0.1843038865784092,-0.11596912828793249,0,0
spec,Attention (tuned),XGB (tuned),0.6617741694906961,0.691742058255574,-0.02996788876487791,-0.10490205103519121,0.05551927400127336,0.231,0.462
spec,DT,Attention (default),0.6594924504466674,0.697892351125697,-0.03839990067902968,-0.08497572199978559,0.01425887740303802,0.069,0.138
spec,DT,Attention (tuned),0.6594924504466674,0.6617741694906961,-0.002281719044028806,-0.05680312894074441,0.048829400337675674,0.455,0.91
spec,DT,LGB (default),0.6594924504466674,0.8841180632237827,-0.22462561277711543,-0.2771964376754621,-0.17361657228272595,0,0
spec,DT,LGB (tuned),0.6594924504466674,0.8925126293097632,-0.2330201788630958,-0.28441759288939017,-0.1753816874229516,0,0
spec,DT,LR,0.6594924504466674,0.6425359884870512,0.016956461959616163,-0.027620056653475007,0.06627981476966527,0.764,0.472
spec,DT,RF (default),0.6594924504466674,0.9314267557789168,-0.27193430533224944,-0.3227457165755255,-0.22522823527825658,0,0
spec,DT,RF (tuned),0.6594924504466674,0.915371625993825,-0.2558791755471577,-0.32809060703425097,-0.18347051832721534,0,0
spec,DT,Transformer,0.6594924504466674,0.5039615937071629,0.1555308567395044,0.09059977814128191,0.220403849588188,1,0
spec,DT,XGB (default),0.6594924504466674,0.8138069409247455,-0.15431449047807813,-0.20463883406416045,-0.10080136433338144,0,0
spec,DT,XGB (tuned),0.6594924504466674,0.691742058255574,-0.0322496078089067,-0.12952842877231832,0.061580983665512366,0.24,0.48
spec,LGB (default),Attention (default),0.8841180632237827,0.697892351125697,0.18622571209808575,0.1556624654371883,0.21535155374852777,1,0
spec,LGB (default),Attention (tuned),0.8841180632237827,0.6617741694906961,0.22234389373308663,0.18880049919292657,0.25520037945381957,1,0
spec,LGB (default),DT,0.8841180632237827,0.6594924504466674,0.22462561277711543,0.16848965162250315,0.27424436527560236,1,0
spec,LGB (default),LGB (tuned),0.8841180632237827,0.8925126293097632,-0.008394566085980373,-0.013119811512638933,-0.003372839031748963,0,0
spec,LGB (default),LR,0.8841180632237827,0.6425359884870512,0.2415820747367316,0.1959647527897659,0.28108680613952736,1,0
spec,LGB (default),RF (default),0.8841180632237827,0.9314267557789168,-0.04730869255513403,-0.06297646029869423,-0.03437041048203122,0,0
spec,LGB (default),RF (tuned),0.8841180632237827,0.915371625993825,-0.031253562770042286,-0.0784648346880347,0.016926978066432792,0.11,0.22
spec,LGB (default),Transformer,0.8841180632237827,0.5039615937071629,0.38015646951661985,0.3408607212302395,0.423873755087797,1,0
spec,LGB (default),XGB (default),0.8841180632237827,0.8138069409247455,0.07031112229903731,0.059144419798065194,0.08269569407555918,1,0
spec,LGB (default),XGB (tuned),0.8841180632237827,0.691742058255574,0.19237600496820875,0.12465592413458601,0.2696880554075243,1,0
spec,LGB (tuned),Attention (default),0.8925126293097632,0.697892351125697,0.19462027818406613,0.16475400688510378,0.221235131726046,1,0
spec,LGB (tuned),Attention (tuned),0.8925126293097632,0.6617741694906961,0.23073845981906702,0.19556774727993226,0.26269006848763343,1,0
spec,LGB (tuned),DT,0.8925126293097632,0.6594924504466674,0.2330201788630958,0.18051226660261016,0.2848584105436511,1,0
spec,LGB (tuned),LGB (default),0.8925126293097632,0.8841180632237827,0.008394566085980373,0.003690060238229488,0.01315381193713299,0.999,0.002
spec,LGB (tuned),LR,0.8925126293097632,0.6425359884870512,0.24997664082271198,0.20553990801855768,0.2926441224060336,1,0
spec,LGB (tuned),RF (default),0.8925126293097632,0.9314267557789168,-0.038914126469153654,-0.05329645610530156,-0.026272077507228132,0,0
spec,LGB (tuned),RF (tuned),0.8925126293097632,0.915371625993825,-0.022858996684061914,-0.0744802600643468,0.03229693946963375,0.19,0.38
spec,LGB (tuned),Transformer,0.8925126293097632,0.5039615937071629,0.38855103560260024,0.3535014224854987,0.4239280089679858,1,0
spec,LGB (tuned),XGB (default),0.8925126293097632,0.8138069409247455,0.07870568838501768,0.06752975362736832,0.09071740093378816,1,0
spec,LGB (tuned),XGB (tuned),0.8925126293097632,0.691742058255574,0.2007705710541891,0.13373784260384827,0.27164108212420973,1,0
spec,LR,Attention (default),0.6425359884870512,0.697892351125697,-0.055356362638645865,-0.10017862622739757,-0.011065148537498024,0.008,0.016
spec,LR,Attention (tuned),0.6425359884870512,0.6617741694906961,-0.019238181003644973,-0.08173307831832718,0.03188890641872162,0.246,0.492
spec,LR,DT,0.6425359884870512,0.6594924504466674,-0.016956461959616163,-0.06696377845408706,0.03027917306430837,0.238,0.476
spec,LR,LGB (default),0.6425359884870512,0.8841180632237827,-0.2415820747367316,-0.2817715323960283,-0.194262446410959,0,0
spec,LR,LGB (tuned),0.6425359884870512,0.8925126293097632,-0.24997664082271198,-0.2921804559487048,-0.2062865275480303,0,0
