subject,model,sens,spec,bal_acc,auc
16,LR,0.425,0.6296296296296297,0.5273148148148148,0.5967496141975314
17,LR,0.6444444444444445,0.7295345104333868,0.6869894774389156,0.7468759288983983
18,LR,0.7368421052631579,0.4829749103942652,0.6099085078287115,0.6453284971960715
19,LR,0.8644859813084113,0.551923076923077,0.7082045291157442,0.7758626887131534
20,LR,0.5449438202247191,0.7205009887936717,0.6327224045091955,0.7069060016442872
01,RF (default),0.34355828220858897,0.8333333333333334,0.5884458077709611,0.6209181707714652
03,RF (default),0.3644067796610169,0.905,0.6347033898305084,0.7377164043583532
04,RF (default),0.08214285714285714,0.9899888765294772,0.5360658668361672,0.7105474336564431
05,RF (default),0.31202290076335876,0.9609236234458259,0.6364732621045923,0.8217140319715813
06,RF (default),0.1875,0.918918918918919,0.5532094594594594,0.587899262899263
07,RF (default),0.12732919254658384,0.9649446494464945,0.5461369209965392,0.7845167426829555
08,RF (default),0.006756756756756757,1,0.5033783783783784,0.5881189722868136
09,RF (default),0.029239766081871343,0.9705372616984402,0.49988851389015576,0.5096612849280917
10,RF (default),0.12413793103448276,0.9190031152647975,0.5215705231496401,0.5400580083789865
11,RF (default),0.038834951456310676,0.9934810951760105,0.5161580233161606,0.6693712737813448
12,RF (default),0.07038123167155426,0.9918233851185609,0.5311023083950576,0.7171886352246651
13,RF (default),0.32857142857142857,0.9133333333333333,0.6209523809523809,0.7101450216450219
14,RF (default),0.25,0.9881061299176578,0.6190530649588288,0.8311985361390637
15,RF (default),0.5766423357664233,0.8212703101920237,0.6989563229792235,0.8064776978727553
16,RF (default),0.2,0.9247685185185185,0.5623842592592593,0.7095100308641983
17,RF (default),0.1111111111111111,0.9991974317817014,0.5551542714464063,0.8142203198383011
18,RF (default),0.4258373205741627,0.7768817204301075,0.6013595205021351,0.6761931710997925
19,RF (default),0.43457943925233644,0.8737179487179487,0.6541486939851426,0.7701219146896697
20,RF (default),0.24157303370786518,0.951878707976269,0.5967258708420671,0.6890854954708093
01,RF (tuned),0.08888888888888889,0.9991974317817014,0.5440431603352951,0.8003210272873195
03,RF (tuned),0.03883495145631067,0.9934810951760104,0.5161580233161606,0.6307515094745636
04,RF (tuned),0.08392857142857142,0.9844271412680756,0.5341778563483235,0.7070117590974099
05,RF (tuned),0.07894736842105263,0.9185441941074524,0.4987457812642525,0.5060709254360627
06,RF (tuned),0.37055214723926383,0.8140096618357487,0.5922809045375063,0.625451231439495
07,RF (tuned),0.15833333333333333,0.9282407407407408,0.5432870370370371,0.7209394290123456
08,RF (tuned),0.49282296650717705,0.7222222222222222,0.6075225943646996,0.672917631321706
09,RF (tuned),0.13333333333333333,0.9169262720664588,0.5251298026998961,0.5443585061052029
10,RF (tuned),0.19101123595505615,0.9492419248516808,0.5701265804033685,0.6924555413182434
11,RF (tuned),0.00675675675675675,0.9929478138222848,0.4998522852895208,0.5738954751648687
12,RF (tuned),0.5985401459854015,0.7799113737075333,0.6892257598464674,0.7821432037003094
13,RF (tuned),0.3387404580152672,0.9396092362344582,0.6391748471248627,0.8152397190622754
14,RF (tuned),0.12023460410557184,0.9787408013082584,0.549487702706915,0.7058552715187643
15,RF (tuned),0.4299065420560747,0.8647435897435898,0.6473250658998322,0.7520099448837767
16,RF (tuned),0.18944099378881987,0.9455719557195572,0.5675064747541886,0.7764490843666201
17,RF (tuned),0.387409200968523,0.89375,0.6405796004842615,0.7244635290556901
18,RF (tuned),0.2481060606060606,0.88,0.5640530303030303,0.5908763308763308
19,RF (tuned),0.3068181818181818,0.9826166514181152,0.6447174166181485,0.8159257256924228
20,RF (tuned),0.29642857142857143,0.9078787878787878,0.6021536796536796,0.6990974025974026
01,Transformer,0.7815950920245399,0.28743961352657005,0.534517352775555,0.6140526362585579
